"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"p1[162]",0.0174112666933838,0.0144291825,0.0122971663887295,0.00959583731736,0.003933480555,0.04111067695,1.00010987708378,12860.9616671031,13374.754929443
"p1[163]",0.2576196721325,0.25235854,0.0695065974905602,0.068997957861,0.153444541,0.3816514545,1.00014106841716,13086.0689107101,12853.218843593
"p1[164]",0.202259157544125,0.19814168,0.053610102439851,0.052984150632,0.1220768075,0.297991573,1.00042049450956,15297.2105626033,14369.6410800614
"p1[165]",0.0379958836154438,0.0361296865,0.0138946965818059,0.0131671018101,0.0186054285,0.0635501845,1.00022229323425,13885.3620998626,13649.8316702401
"p1[166]",0.00217386679101941,0.0011252644,0.00307488856274739,0.001253575498434,8.785101965e-05,0.00770895097,1.00009519966365,14126.4279038194,12891.9332484924
"p1[167]",0.245070385990375,0.241924325,0.0516456381018657,0.051165296952,0.1655874895,0.335302809,1.00012669656293,13050.1159352391,13933.3928946129
"p1[168]",0.0791398052766875,0.0760492085,0.0262663337276071,0.0255470060307,0.0417594888,0.1267049005,0.99994010994236,14386.0737281881,13076.4939962474
"p1[169]",0.13620191119375,0.13178396,0.0429919290805353,0.042309445458,0.07376605595,0.2140609405,0.999854693300631,15720.541412087,13564.7342917864
"p1[170]",0.14265943936,0.13656239,0.0530325386418202,0.052367225946,0.0671873027,0.2389602515,1.00027543982104,14799.8987089312,13716.5464187277
"p1[171]",0.425630905381875,0.423442565,0.0933330823976932,0.094727220651,0.2769009005,0.583864353,1.00012995056561,17892.1954091658,14938.5443841641
"p1[172]",0.47059877068625,0.469234195,0.101330897305975,0.10523954406,0.3058097735,0.639571318,1.00029179628424,17118.3667727212,13958.3622859386
"p1[173]",0.091237500815875,0.0885324055,0.0278674615674493,0.0266648923611,0.0505681156,0.142046213,1.00011830407737,14848.9014628782,13427.2885406531
"p1[174]",0.305255666276875,0.30234824,0.0563075604905088,0.056871120117,0.2173882045,0.4025363105,1.00003526476144,16363.1767480855,14565.316728454
"p1[175]",0.0640706839741875,0.061466436,0.0221134353438851,0.021452325027,0.0328270949,0.10508738,0.999996152692374,14278.0496846953,13787.0683738571
"p1[176]",0.0657278755313687,0.060572714,0.0303186655143742,0.0279600739299,0.0260689386,0.1223855605,1.0000646801968,13562.5852754399,11815.0307470571
"p1[177]",0.0144640849677362,0.0123846285,0.00911357788615642,0.0075267487785,0.003906486865,0.03183151715,1.00023968778803,14182.6376949829,13565.7055318462
